question_id,condition,role,answer_valid,finish_reason,generated_tokens,source_record_sha256
dev-00177,distractor_option_cut,T,1,stop,185,34301808db900f86221790a0bcf42aa3e3bce9fb85bdc2b484a6d49bf72aa781
dev-00186,distractor_all_source_cut,G,1,stop,207,10bfe41be76d48589f90f87e4ae357287cc9cc7679e81630756784f8254be0af
dev-00186,baseline,G,1,stop,149,e1c07398af9ec396c18a6cd5a29db6aa6ebb0195117bfbe9a721f1d09e6332bb
dev-00186,distractor_option_cut,G,1,stop,148,b3cf40563ddbc258806c6a62e544d8da011f3f86a46aa19fda8e016f09684dc6
dev-00199,distractor_all_source_cut,T,1,stop,75,fabefd32c745bf1927b53bae3c5643070263b7d423c5cbe99c4b581d51583ff9
dev-00199,baseline,T,1,stop,78,9e0eedd6ffb919b7d0cbb4ffc0f20904953933bb1d533ecdc94a866219669823
dev-00199,distractor_option_cut,T,1,stop,122,8474025e369ebd1b590602a1caf34d41d2055595005b0a757bf2dc13e7975999
dev-00205,distractor_all_source_cut,Other,1,stop,139,b91b9f1c9ff8e636bebaf03203c9392f836fbd274eb05066d757a4c16aea675a
dev-00205,baseline,G,1,stop,201,3a62e3bd14095f541b5d110cfd28e3504fc79ef733407b2a3b32c2899f3c9caf
dev-00205,distractor_option_cut,G,1,stop,120,7a3e881f673d0eadde477cf117700eaee21b5916394fbed10442ee7eaf04505a
dev-00221,distractor_all_source_cut,G,1,stop,80,ddaf654c6731106a3b40004616ad74675fa43adca03e97897d039fec646d05ef
dev-00221,baseline,T,1,stop,147,9789070682e990f0ddcf201e695549851146d838a5300416d9cd94b37635d6fd
dev-00221,distractor_option_cut,T,1,stop,114,5f31c94e1e194923f0efde51e4f475a4747e066e122bbdc517eaa40aa21f0b44
dev-00223,distractor_all_source_cut,G,1,stop,110,b1c863b45fca9c97e7109d5065f71ec49d2c89cf471b222f80e8f86cc80ba747
dev-00223,baseline,G,1,stop,90,c25adc33602469619a17f3abee74afeb9a5036ff161d5168821254b4cffd1634
dev-00223,distractor_option_cut,G,1,stop,107,1f064c0ecb3e88dbf6482b50c0518c66f49dd22e522bec38992cef8420db1861
dev-00228,distractor_all_source_cut,G,1,stop,140,1296876d0b255fec06266f0becd7b680ea0cb7c944e96fc4e148b495e48ddff8
dev-00228,baseline,G,1,stop,148,894f7c7410908c9c5b58b4559764860dcf6adaf7019cb7be011d7768a40180be
dev-00228,distractor_option_cut,G,1,stop,148,6fd479c286e9beb98720f5dc74201845725f352e2d069d841ea12f36df60b83a
dev-00246,distractor_all_source_cut,Other,1,stop,233,92039d3b2a86b8ffce8ca6ecb2ce30148eed2fed44aa3512546296057a001b23
dev-00246,baseline,T,1,stop,155,0bd55f7da933dc0af80b2f6eeecc86c8913827367979909d4126942f58a2f433
dev-00246,distractor_option_cut,Other,1,stop,252,3d8c30231c3f144b2f6695f3ec7952badb53666bea43cd54b7b69e762568f674
dev-00263,distractor_all_source_cut,Other,1,stop,117,161b36c16091dfe5b0029c446f23679cb0dc32e47b12f98f9bb00148d755364c
dev-00263,baseline,G,1,stop,145,6918e2e711d662744f846492e64d943ec18ec621508b759a670728b63a3232bd
dev-00263,distractor_option_cut,G,1,stop,143,a9935ca612ffa23705f10dec6e67abdda8b9c3408fe898a8be3b0da4f057e016
dev-00276,distractor_all_source_cut,G,1,stop,138,732a70bdf5e5fa9658b9c934537f5d4b07be1ca39c0aa5fdb328a9d7dcf40fc2
dev-00276,baseline,Other,1,stop,133,8e2bc5c00b675faaa30acaab404a95597c6f688fa7a94f5358c9820fb5cd6b89
dev-00276,distractor_option_cut,Other,1,stop,177,c5e90dda2c0a9f78acea309ffcde67f4b6033712e462bee0876569d7dd29e57c
dev-00282,distractor_all_source_cut,G,1,stop,256,2030fac968753c9abc8e80e335ebdba396c60967122026f999dda93ff7b01765
dev-00282,baseline,T,1,stop,98,0629b57d18d48af0f1ecc8a825cfbd4db0af074eaac5587a6f3f0cb4ab1a9688
dev-00282,distractor_option_cut,T,1,stop,97,b121d758390d9124558524b6e97003d37af34126888cbf860a0931ec0b713594
dev-00283,distractor_all_source_cut,Other,1,stop,148,218b3706389f4941027805b39c86d4c8de35924be16f6d6b2aba74ac5157226c
dev-00283,baseline,T,1,stop,128,ede07f6421df0ba060f3a6d6f9fbc9a529b48e628773deb80e692ff036469467
dev-00283,distractor_option_cut,T,1,stop,102,328d0b69e08936ad689b7a6dda1d968e3d7ec1ec0e36b27961aff5fc91d35300
dev-00305,distractor_all_source_cut,G,1,stop,109,7a2bb01aebc5396e3db735820046fbbaf79403edc36be6a3d595ba5a9fbafade
dev-00305,baseline,T,1,stop,95,a3af15bf79b44635b1d1ad3fa812543fec1b532382e876d7bf7c7677e1658fc9
dev-00305,distractor_option_cut,G,1,stop,69,8427900edac9e26915381b8696d805e44953f5bc1fd481dd4b987bcff04d7184
dev-00324,distractor_all_source_cut,G,1,stop,145,b8e666443e5df0a9e713753272034c3eba11dbdb9e8927dccf4adc6a6b13e65f
dev-00324,baseline,G,1,stop,132,f69066a02eb73d5016168ff97c9e93ee7919649dd82e8467b03cd01c5fdf5ddf
dev-00324,distractor_option_cut,G,1,stop,134,34cb42abfd594f3bf829765f2fa8151d542796bfa31bc69f2a55a25cbca63077
dev-00330,distractor_all_source_cut,Other,1,stop,106,d487279a717461520ccdba3b2326309c8f7f9e3c302acd0b6cb608a7eed332aa
dev-00330,baseline,T,1,stop,108,a7d69b7c1b0c07e3a4c0e52d43373594bd961ee74fab2603c4ff70a09928ebc4
dev-00330,distractor_option_cut,T,1,stop,108,4b6805ea7c40fe4090ea98b11cc63c6acca28e9915a551a7ccfcad236433224f
dev-00345,distractor_all_source_cut,G,1,stop,98,127a640ce8ec3172d4b2500380f683a31423532f60ac8938ddfacb3c997a9209
dev-00345,baseline,G,1,stop,121,e02eb3435a9e932518eeb16c2867cb1bc7fe157976603051ecbe4a5fc83e01cf
dev-00345,distractor_option_cut,G,1,stop,158,9894524bada619947ec8aa3047c94fd9f353cce17f6ab353e50edbc99dd7cb06
dev-00355,distractor_all_source_cut,Other,1,stop,125,c77285e60ab91b0a02645dfa4ce11d284b96201ffe4bf7603a71815902599165
dev-00355,baseline,Other,1,stop,146,6b4650409fefe57f331df8afd30cc3b05649786c3feb43068bd6735aba5ad6f8
dev-00355,distractor_option_cut,Other,1,stop,150,ad366b10ec05a4e992d7fb663e12da399b473bdc8a9a0495ca2dd82cb55c4c39
dev-00359,distractor_all_source_cut,G,1,stop,128,3f770fbc8e20166bf1231f9891a14cc233e207a138fce2be41b7ad64a5317919
dev-00359,baseline,G,1,stop,152,251ff14dda3f7b5da035adff98af2d0e95091d1f06a8ac27df105ad89adb38fd
dev-00359,distractor_option_cut,G,1,stop,105,0b0a72dbaeae0a56153f064e7fa3c8e7fc6271d2454cddfba61250ca7eafa449
dev-00360,distractor_all_source_cut,G,1,stop,83,9815a4cbf6eadb3b36f5999c440a705a631966c0e58107ce69c303d6aa01b424
dev-00360,baseline,T,1,stop,94,c2228c34bb8dc0c3708c5ce4a2da8a67331066dd640f12b0903848ce8df200de
dev-00360,distractor_option_cut,G,1,stop,199,b07a09c21494384e78956f01c40c5dbdbbfe7546e94b792c9ec9a0e26afb016a
dev-00408,distractor_all_source_cut,G,1,stop,158,c89752a2e5b83f59326db609cd5d63da41c1038ffea3f393f44595c63dde70ec
dev-00408,baseline,T,1,stop,260,17eb2036adca9ab7afdaf97f0066887e5641b553b90e3d5896421db62a553c83
dev-00408,distractor_option_cut,G,1,stop,130,874b414fcd380e7ebccd4b206e91379ee06d79b8c09357f0297de3846981e7e5
dev-00425,distractor_all_source_cut,G,1,stop,157,66ccd3041100cc10a79cdf9b0036fe2047435a1652e2f36b4633834ea27d8c40
dev-00425,baseline,T,1,stop,173,256d53faeb5bfa1e30c181f4361ff8a87ed0b1ee3ba5da51db1ad82dda092bb4
dev-00425,distractor_option_cut,G,1,stop,198,eab0c04c2e8b2eb538cc9a2afef17d73e76b461e86b6067e2fb6a2948e20aa02
dev-00432,distractor_all_source_cut,G,1,stop,140,52242fecadb19539445c2922b3191ba107cf0c53ea4e9094d2160c831efda244
dev-00432,baseline,G,1,stop,190,ce804db0fc86df545c9fbe50160de2a57315693a750f409ab30ab16e921afb4c
dev-00432,distractor_option_cut,G,1,stop,162,45a4e9eb1239e532a9fa2fce88a30deff237267fa36d23497eb3f91f6581caf5
dev-00438,distractor_all_source_cut,G,1,stop,119,984f8e80c94caec240b597633d470649894b49468572d70404213466ec7edb7c
dev-00438,baseline,T,1,stop,161,e9877c1942039094140a207a6effc69ad6a61fe2bca6d0bb40826006627ab304
dev-00438,distractor_option_cut,G,1,stop,168,16d811534b7da8c379e4f7f93d7013f2ae9a79e5d0504ead634e68569380a6eb
dev-00454,distractor_all_source_cut,G,1,stop,107,7f38aff4ae5b0d80c9a314989c8792fd2fa3d967441ee796e04cf598be657dcd
dev-00454,baseline,G,1,stop,130,538defb3d7c700c940db131a6187fdeef313a60ec37b5306d4840ee567814077
dev-00454,distractor_option_cut,G,1,stop,164,97c0bd29606b86bb185df1bd3caf59b08d1e7adc3f1249c01f460821898f8d4a
dev-00470,distractor_all_source_cut,T,1,stop,175,59dfcc7bbfbc7341bc4d62d5470ebe177911f2c119003080738d3bb54862da5c
dev-00470,baseline,T,1,stop,177,2ada6ea5b7fe6c4bb38b8f35c6684beb66a07f0b7cb071ad718982f8d3b630e5
dev-00470,distractor_option_cut,T,1,stop,190,12309b49e9b0595cfe0e590c88b4500a51e42a151bfd3dcc5ed4afb685f9e401
dev-00477,distractor_all_source_cut,G,1,stop,154,e5c8c0ef65e5b102afe6a14f31e14c48fcf1fcf251ad553218f3f63c5b60eb21
dev-00477,baseline,T,1,stop,134,f804ac76c16506e6ca809b3aa3b81a58194d2c66ffb76740f7d8b54a23207d17
dev-00477,distractor_option_cut,T,1,stop,132,7b139ceb1a9a83da9388154079df95792b1066b78404b3c48c7736b5a3733ee2
dev-00487,distractor_all_source_cut,G,1,stop,72,db570e4db055b4b796294d424e1a0b9d6f0ce3d10e248a475a86ad76b4a68e13
dev-00487,baseline,G,1,stop,107,f8a9a92b0f72085dafd5a3246a897957007539f24c531bd6a6c0b0d65f6d7e90
dev-00487,distractor_option_cut,G,1,stop,126,955bd2460d608a182c41040df3f2d605370febc12a231db066b3da9ddcad1c58
dev-00494,distractor_all_source_cut,G,1,stop,73,4d3afa36eab05e49a71348f6dd226e4c0f5829b250f599aaf74a90750606c83d
dev-00494,baseline,G,1,stop,76,0964c4efac904436f252f39c0510c50ecaf7fc08575b7adca9eb92dd80c7705c
dev-00494,distractor_option_cut,G,1,stop,95,8c962bb780c9651c54414bfa3c7153739e394a89f7398c71a32e232126cb049e
dev-00547,distractor_all_source_cut,G,1,stop,157,b9174e67fa3ddbc66362fefa109e48de075645e7a0b0a343f03080f3a545434e
dev-00547,baseline,G,1,stop,97,3dc962faa45f0fba74ba4548fdcd3c5f130b1849c34dce0353f9377f2a0aa4d8
dev-00547,distractor_option_cut,G,1,stop,128,1e15b4eaa89e63466db8121f4188bdbdd97e2d520a5880344b9446644ecc4b15
dev-00572,distractor_all_source_cut,Other,1,stop,125,4b46408e3c251705175604f5f8f6f0b6944eb4dfe5fe9e060f27e34be0e2e998
dev-00572,baseline,Other,1,stop,150,99020838384fb4b0924be9ab869c8fc30032b0abf4b1744a50be06e1525bf5a9
dev-00572,distractor_option_cut,G,1,stop,197,8edbb551f5ae3565a3da8e7277d28e9a3ac82a6d5126501596cbfaa91db48503
dev-00581,distractor_all_source_cut,G,1,stop,81,3cb339fced7e552f074d14fce3fa0cf87861f3fec0a8e1979c63a2f57faf36c1
dev-00581,baseline,G,1,stop,117,b33333a62b125fe82cd511c5e2ca09389f037fddfbf72d78113d3bd9e6ca799c
dev-00581,distractor_option_cut,G,1,stop,88,5119b007614affb8137c37524fb94d8bb1c3e05974b6c5248a7e67e5103b5a9b
dev-00582,distractor_all_source_cut,G,1,stop,123,6825813607316831e354ce5982e1444c9d8a2ec98f8c424cea840d089847e49a
dev-00582,baseline,T,1,stop,124,8f18f2b050af8d23bfdddf2e0c45f1ab5b301bf10d545f0a70b23ae1469d6879
dev-00582,distractor_option_cut,T,1,stop,145,7f919b035e43f21cd743f530d068467daa619fc471b946ab04e05470d46c87d6
dev-00601,distractor_all_source_cut,G,1,stop,123,fe7d86a46a61ad0731818ff95bf23c143f9e40a569b87da373461ca52cf224ce
dev-00601,baseline,G,1,stop,159,3694dc73b40492aba405b97ef27d25f725f28dd24b9f1535a8c20d6d8d0d6848
dev-00601,distractor_option_cut,Other,1,stop,184,7eb0287d29cb76a7695db740d8e3c1273c0beb6685b60bf72524fd9bb4eb9fe1
dev-00646,distractor_all_source_cut,G,1,stop,192,dcb161267c7e7bf94342197ec98b8040b9404aa59b0c00e5df77038bb6a3d38b
dev-00646,baseline,T,1,stop,203,dfed523551b6a593313e9ba7a1aa74ca2b8e669fc15709a02b14f7bb68d3bd37
dev-00646,distractor_option_cut,T,1,stop,148,6b1773b8c284df6f6411df36c7ad450b2e4c54bd4d440c6b406838bef738acd6
dev-00649,distractor_all_source_cut,G,1,stop,113,8e053d7077859d596d306e5cde2041a8b05182c1c0138e554358ac9ffde8d7b5
dev-00649,baseline,G,1,stop,159,29961d1ed60e1e2d059c611b94c9418dd0628c2f7343b9c3a152e225f66a99b0
dev-00649,distractor_option_cut,G,1,stop,133,a05ed56fa4ddd5fdddc90b2146899b76990f1083985978b41d9fae80cf5be521
dev-00657,distractor_all_source_cut,G,1,stop,95,958eb7ad6f7b9753d1adfbf106eab32b2305a4eab49a9e7ff43c14723df51824
dev-00657,baseline,G,1,stop,168,f4a91855289a120019b1f605041d0167066c20a04e99dd16e87f7b2374875174
dev-00657,distractor_option_cut,G,1,stop,151,4ed6051d1c77f5952a31e19862890602e198805b16459bd0492150279ff882ba
dev-00668,distractor_all_source_cut,G,1,stop,152,c2c5b15f94f43f278cb2131ac39b39420118dfbfa3c59a04fdda1164ed8270b9
dev-00668,baseline,T,1,stop,169,b7073a2a34c99bbb1e886530f4a89c3ea004b0d2a678f031e172be610ed56911
dev-00668,distractor_option_cut,Other,1,stop,212,63714f4b4c4452ae4266c77f12e4321053b9f4915bdc6e4e557aa7b642f00b8f
dev-00670,distractor_all_source_cut,G,1,stop,99,134426c65a35e491bdd9cb8ebe4cc902de009e19f48ad9f4783ae6f9bb249996
dev-00670,baseline,T,1,stop,122,2def42ab2cb1946cdbc01301174a2f2fc76de3d4013e6a08f1e24ddd066040dc
dev-00670,distractor_option_cut,T,1,stop,109,ef9f86ac4969ab6fe8294d659cc048435a63a399dca66c8e8ba58709049a0afb
dev-00672,distractor_all_source_cut,G,1,stop,139,ad6449a0d8288e33dd630d4dd6e2851b1da1026d0a80b24dad57659154f41e37
dev-00672,baseline,G,1,stop,91,df9cc9a72dd72e0891a01a2d2249fc6a0a0a888f8613cc80df224677235dd807
dev-00672,distractor_option_cut,G,1,stop,89,d4e52e31de524240c77ab2aaafd0b7406e9fe0373b776d357347155a62bcaa8f
dev-00675,distractor_all_source_cut,G,1,stop,88,c2936d485454bdc60aa71d5701e396db90e1e3c6f9d0f5b900a065da39c03918
dev-00675,baseline,G,1,stop,117,8fd4641292c020d416bb93a8c658f4d323eacf334fa264c2f24424a6aa1db45f
dev-00675,distractor_option_cut,G,1,stop,103,0235307124f00c9dbe0f51367fed7c953cfb16a38f4d927f024edd01766435f7
dev-00676,distractor_all_source_cut,Other,1,stop,210,9ce5829b72591f706cda4a231fe77a07f5df541a6005af32e8ff61c981e53003
dev-00676,baseline,G,1,stop,158,fd803fa26d7c7453496f5ebbb78a2417f4443fa548f700c771148a47df7f3b89
dev-00676,distractor_option_cut,G,1,stop,160,57b15b47d13caf75e054f462016f97ea3df1556ed1d970385809c01d6364e0d8
dev-00685,distractor_all_source_cut,T,1,stop,97,f0e5cb273cd68f0703498b82c2d7b8b6b8139e9d1f47bb836ee146683e7cb081
dev-00685,baseline,Other,1,stop,132,077d13ab254f0d1c1542084bb332debcbdf31a250baa53124bf8ca20e82774dd
dev-00685,distractor_option_cut,T,1,stop,97,59942d19e37ca079b7586ea5f061e19bf123562473c5e844409e7eaf091024e8
dev-00701,distractor_all_source_cut,G,1,stop,120,801046e8973b6ea1a9f533c879b6f0d1a74c7cacd9df27a99303bb5fd7cb3495
dev-00701,baseline,Other,1,stop,142,5a8cfa2e94bf9e22a044f692377606882affd086c41a97186a69eb9b850552ef
dev-00701,distractor_option_cut,G,1,stop,149,6f6f61c74447949b4ceb3cbd58e1ca7cbadf348216fec34173a22941ce0caa25
dev-00702,distractor_all_source_cut,Other,1,stop,116,d7369ae77d381a0957a9bb682a9452143c8e5a24a884e3dbeac17508f63a6009
dev-00702,baseline,T,1,stop,124,33702a80f863a0322eaf449f4975cb91def3ff286524c7fbf94caa480d7977dd
dev-00702,distractor_option_cut,Other,1,stop,122,d59a9a7c4d198debdf7a578314a348de041b386eff5d97b53e77a0985031ae82
dev-00751,distractor_all_source_cut,G,1,stop,109,f6750a774aad4573f9edcb528b42f22679ed81048a1f4fb48f5ac5c459b8e07c
dev-00751,baseline,G,1,stop,148,1f48e652d30266c775b003be5c8c357a5ef2138f25f887f62ff26e6356dcce15
dev-00751,distractor_option_cut,G,1,stop,141,3ae1357f8366ea24cc7a514f950b08b3cd06ea5e06bc0a23a98e9616dae82f82
dev-00777,distractor_all_source_cut,G,1,stop,157,cc79c85309769de0cc079c83e73c617ebfbd18e8e82b1e5d6547ef0f6e97df03
dev-00777,baseline,G,1,stop,188,3f8cfeeb8fb829440d93c866248e295ff2a974557734f82bce5401bb2ae2a760
dev-00777,distractor_option_cut,G,1,stop,166,6b3d1bb571bc69a9fa6d37baca4b9c314152c123901db91b7da3cdd0477e5863
dev-00787,distractor_all_source_cut,G,1,stop,142,02432ebb1f0669314258edbcd0cd9da22ad673ce103715e8823358b5fbdca76f
dev-00787,baseline,G,1,stop,161,98354c1ca2e44a199b255f4af59dab30ff9c06a5dd7e8d678cdeafee12543460
dev-00787,distractor_option_cut,G,1,stop,218,f409db6ac492a2095329327b959b12e53c1544b79d7aa9f287dcd2ac7bd8e6c1
dev-00788,distractor_all_source_cut,T,1,stop,101,af18498815b4134ea42bac27b1bad34525a3e60833c6dc8749a07f3ef2d32eb5
dev-00788,baseline,T,1,stop,84,93d3541b2504511c7fbd5a15c0790d3b3fef430df4afae35ffae28899e4bf721
dev-00788,distractor_option_cut,T,1,stop,84,831841cb22c6e17f8f20df540cf0f8052703037afce55c00bf0fb353ba04fb74
dev-00798,distractor_all_source_cut,T,1,stop,110,92cfe1c6e084771042d64cc0bf544b778e069a2710d1bbedd5b199c2b294abf7
dev-00798,baseline,T,1,stop,99,7294d67c991c0dfa582a164005a0a55fe797785fbe49a937835bc571f81d9a21
dev-00798,distractor_option_cut,G,1,stop,161,f73b4d8be086383e0dad6f5af19e713fbfca6c043c9d8711a9431c20d0c158b2
dev-00820,distractor_all_source_cut,G,1,stop,114,aa6ab748c43422191ae1c573e5b08c0af22d1f1a462bdcb0b03911b7e0ec702b
dev-00820,baseline,T,1,stop,156,b21fdc895d04195a3f81fca0a8788f1590a802b10d09e845ae65f6cadafca3b1
dev-00820,distractor_option_cut,T,1,stop,163,2c96853ad70c53a205d0ab88794b774030656e819eb385f263929a56d74ea3fd
dev-00834,distractor_all_source_cut,T,1,stop,90,666291d3f80eb0a10c6219adcea4291ff1fdcbecdb1eca98dc15fbe8878ef645
dev-00834,baseline,Other,1,stop,151,609fa5a2a299b64499c051f273ad5e642bc2ac542b68975a2fdd67377f23f287
dev-00834,distractor_option_cut,Other,1,stop,161,6da62b7fee2f38402ea0d3ccfdf0473aebc3f9b38be13670f4437e9b87db69d8
dev-00840,distractor_all_source_cut,G,1,stop,147,f75784bf3a52f21c604e1c08bc49b663be2e1fd6b5c38c7465ee0ade8dad228f
dev-00840,baseline,T,1,stop,119,84f2971979ea2bddc366aee1ebff470cec3d5cc833043ad4e4d0274f58756979
dev-00840,distractor_option_cut,T,1,stop,104,d27bad9ed7724c30d76c576dd84fd52c258619d0aff749764bfb3d7187f2eb0c
dev-00874,distractor_all_source_cut,G,1,stop,134,c83f5cd2fd9ffdef9cbcea7c029b774812c4ba7f4d4d6afabc3fdf00ed2c57cd
dev-00874,baseline,T,1,stop,141,9c8dc93f4a5c3b34e75d281d53625aa45de3f42695f725d8bb0485e0cdfe39d0
dev-00874,distractor_option_cut,T,1,stop,149,9f84ec9c8bfd50d2740f4363073d4a563118a95b2412aa8c25c2a802ac44756c
dev-00967,distractor_all_source_cut,G,1,stop,100,cab9245bf2cd1e542e1853d85e7a3a62c310ef457cb501354c73db10c809df80
dev-00967,baseline,G,1,stop,138,1ed1b21c8d145edb0271fe0ab5495510acc6d45d8bc0c49749ab6edd251d26e9
dev-00967,distractor_option_cut,G,1,stop,118,168a308db52866ed36d860cd237583ce9095328a2c50211649b9ceb804a1ffe8
dev-00968,distractor_all_source_cut,G,1,stop,103,ea1a3453899dd27403be2a944af12e7c4f0f729f80e1320b50d3018e9042be3d
